formatos.formActReg1,Regional Act Format 2
formatos.formSol,Request form
actualizarDatos,Update data
evalSocio.title,Evaluation
evalSocio.Datos,Data
evalSocio.Acopios,ACPOIOS.
creditos.fecha_banco,Date of bank
creditos.referencia_banco,Bank reference
inicio.title,Hello
inicio.calendario,Calendar
inicio.pronostico,Climate forecast
inicio.mapa,Map
inicio.saldos,Balances
inicio.numeros,Tseltal numbers
inicio.numero,Number
inicio.numeroTradcurir,Translate Number
bancos.title,Conciliation banks
bancos.fecha,Date
bancos.subcuenta,Subconquate
bancos.subcuenta_nombre,Concept
bancos.referencia,Data system
bancos.ingreso,Entry
bancos.egreso,Egresso.
bancos.saldo_bancos,Balance
bancos.newMovimiento,New movement
bancoForm.referencia_alf,Alphanumeric reference
bancoForm.ingreso,Entry
bancoForm.egreso,Egresso.
bancoForm.seleccionados,selected
bancoForm.seleccionadosOPC,1 Selected payment
bancoForm.respuesta,5 accounting records were created
bancoForm.respuestaOPC,1 accounting records was created
bancoForm.terminar,End up
bancoForm.nuevo,Register another
movimientosForm.ordinario,Ordinary
movimientosForm.extraordinario,Surplus
banco.totales,Final balance
banco.total_periodo,Balance of the period
banco.cuenta,Account
banco.tot_ingresos,Income
banco.tot_egresos,Exit
banco.registros,Records
banco.initialDate,Start date
banco.finalDate,Final date
banco.fechas,Search by date
banco.buscar,Look for
banco.tot_prev,Initial balance
pmenu.carteras,Wallets
carteras.title,Wallets
carteras.fechas,Date
carteras.totales,Total wallets
carteras.vigentes,Valid credits
carteras.vencidos,Expired credits
carteras.total_vigentes,Current portfolio
carteras.total_vencidos,Past due portfolio
carteras.num_vigentes,Valid credits
carteras.num_vencidos,Expired credits
bancoForm.sinReferenciaAlert,You do not have previous references captured
bancoForm.noCoincideAlert!!!,The XXXXX reference does not match the selected ZZZZZZZ
bancoForm.diferentesAlert,Cargando...
registro.id,#
registro.fecha,Date
registro.referencia_banco,Bank reference
registro.referencia_alf,Alphanumeric reference
registro.fecha_captura,Cargando...
registro.usuario,Cargando...
registro.subcuenta_id,Subconquate
registro.subcuenta_nombre,Cargando...
registro.banco_cuenta,Account
registro.banco_nombre,Cargando...
registro.relacion_sistema,Data system
registro.cantidad,Quantity
registro.ingr_egr,Cargando...
registro.aport_retiro,Cargando...
registro.pago,Cargando...
registro.ej_credito,Cargando...
bancos.selectedRegistro,Registry
movimientos.buscarGrupo,Cargando...
movimiento.nombre_socio,Names
movimiento.fecha_entrega,Cargando...
movimiento.monto,Amount
movimiento.aportacion,Cargando...
movimiento.proceso,Process
movimiento.tipo_de_movimiento,Cargando...
referencia_banco,Bank reference
pmenu.subcuentas,Cargando...
pmenu.mapas,Map
procesos,Cargando...
mapa.vigentes,Cargando...
mapa.lt30,Cargando...
mapa.bt30to6M,Cargando...
mapa.gt6M,Cargando...
mapa.regionVerde,Cargando...
mapa.regionAmarilla,Cargando...
mapa.regionRoja,Cargando...
mapa.regionGris,Cargando...
subcuentas.title,Cargando...
editarDatosBancarios,Cargando...
nombre_region,Region
nombre_comunidad,Community
mesaControl.infoDelCredito,Cargando...
evaluacion.infoDeSoporte,Cargando...
socioForm.doc_rfc,Cargando...
solicitudForm.justificacion_credito_placeholder,Cargando...
tsumbalil.ermitas,Cargando...
ermita,Cargando...
zona,Cargando...
interzona,Cargando...
municipio,Cargando...
localidad,Cargando...
inegiLocalidad,Cargando...
ermita.ermita_id,#
ermita.nombre,Cargando...
ermita.zona,Cargando...
ermita.interzona,Cargando...
ermita.municipio,Cargando...
ermita.localidad,Cargando...
ermita.localidad_nota,Cargando...
inicio.phrase1,We are a micro loans organization created by producers and indigenous Tseltal producers. We are located in the northern jungle of Chiapas and we are part of the Yomol A'tel group.
inicio.phrase2,In this social enterprise we seek to build an alternative sensible to the needs of credit access that are required in our region.
inicio.phrase3,We are trying to challenging the ways of thinking of credit and microfinances
inicio.phrase4,"We seek to generate new financial capacities, always taking into account the conditions of the territory and its context."
inicio.icon1,Greater savings and heritage
inicio.icon2,Reinvest benefits
inicio.icon3,Diversify income and risks
inicio.phrase5,Comon Sit Ca'teltic is an economic engine which distributes the resources generated to where they are needed.
inicio.phrase6,"We seek to generate new financial capacities, always taking into account the conditions of the territory and its context."
inicio.phrase7,A commitment to a social and solidarity economy.
conocenos.territorioTitle1,Our territory
conocenos.territorioP1,"We live in Mexico, in the north of the state of Chiapas, among the mountains covering the municipalities of Chilón, Sitalá, Yajalón, Pantelho and Ocosingo. The tropical climate makes the area suitable for the cultivation of coffee under shade (main source of income for our families). However our main sustenance is the cultivation of plots: corn, bean and a variety of fruits are the basis of our food and our families economy."
conocenos.territorioP2_1,"Throughout this area, Maya Tseltal culture prevails, which retains great cultural richness through our language, our traditions and our system of civil and religious cargos. All this, along with the care of Mother Earth, allows us to maintain what we call "
conocenos.territorioP2_2,Lequil CuxleJalil.
conocenos.territorioP2_3," (Good life and harmony) with our community, with the environment and with our spirituality."
conocenos.territorioP3,"This region is one of the most impoverished in Mexico. Despite being an area with great natural riches, it is other people who benefit from it the most."
conocenos.territorioP4,"That is why we decided to organize, and escape from the depence of harmful economic processes and started building our own."
conocenos.yomolAtelT1,Yomol A'tel.
conocenos.yomolAtelP1_1,Yomol A'tel means in the Tseltal language
conocenos.yomolAtelP1_2,"Together we work, we walk, we dream"
conocenos.yomolAtelP1_3,". He is an imaging group by social and cooperative companies, as well as the producing families of the North Selva region of Chiapas and collaborators at various parts of the Mexican Republic."
conocenos.yomolAtelP2,"We focus on generating answers from the social base to build alternatives of value aggregation in the resources that we currently have in our territory, always taking care of our relationship with Mother Earth and accompanied by various social actors that coincide with our vocation (universities, foundations , investors, consumers and other social experiences, among others)."
conocenos.cafeT,Organic coffee
conocenos.cafeP1,"Agroecological production, transformation, export of finished product and sale in cup."
conocenos.japonT,Personal hygiene products
conocenos.japonP1,"Handmade soaps, shampoo, creams and crafts."
conocenos.microfinanczasT,Microfinance
conocenos.microfinanczasP1,Microcredits for consumption and production for families that are part of Yomol A'Tel.
conocenos.mielT,Organic honey
conocenos.mielP1,"Agroecological production and national sale, early stage of transformation of the finished product."
conocenos.comonT,Comon Sit Ca'teltic.
conocenos.comonP1,Comon Sit Ca'tetic started with reinvesting part of the benefit that brought the built price of coffee. From there we seek to use those resources to start new activities that in turn generate gains that are reinvested again to finance other productive activities.
conocenos.comonP2,"The process has been attentive to the economic-productive dynamics that can be encouraged in a family, in a community or region."
conocenos.plataformaT,Online Credit Platform
conocenos.plataformaP1,"As the project was growing in size and complexity, and remote data access was increasingly important, we started the development of this site."
conocenos.plataformaP2,"comonsitcateltic.com is a multi-language platform that has opened us new possibilities, allowing us to better explore our data and work forms in a process that we continue to explore and improve."
conocenos.plataformaP3,"We consider it important to share our experience, so for those interested in seeing, copying, downloading or improving our code, they can do it freely"
conocenos.plataformaP4,here
conocenos.plataformaP5,The code of this platform has been developed in a process together with our collaborator and friends
mapa.title,Map and data of the region
mapa.p1,In the process of building this platform we found a lot of data from the region that we consider will be of public interest.
mapa.p2,"During the next few months, in support with volunteers and enthusiasts we will be building a free access map with information from the region."
contacto.title,Contact
contacto.text,You can write any questions or comments to:
tipo_de_movimiento,Cargando...
fecha_banco,Date of bank
ermitasXLSX,Cargando...
comunidadesXLSX,Cargando...
menu.mapa,Map
tsumbalil.comunidades,Cargando...
error.messagePost,The changes were not saved correctly.
error.message500,Cargando...
error.message400,Cargando...
error.message,Cargando...
error.messageForbidden,Cargando...
error.extraInfo,Cargando...
error.mensajeServidor,Cargando...
inicio.carteras,Wallets
aportacionesRetirosXLS,Cargando...
movimientos.detalle,Cargando...
movimiento.clase,Cargando...
bancos.registrosXLSX,Cargando...
bancoForm.title,New movement
bancoForm.cuenta_banco,Cargando...
bancoForm.referencia_banco,Bank reference
bancoForm.fecha,Cargando...
bancoForm.cantidad,Quantity
bancoForm.Movimientos,Cargando...
bancoForm.Pagos,Payments
bancoForm.EjCredito,Credit
bancoForm.Otros,Cargando...
bancoForm.respuesta1,Cargando...
bancoForm.respuesta2,Cargando...
bancoForm.noCoincideAlert1,Cargando...
bancoForm.subcuenta,Subconquate
bancoForm.noCoincideAlert2,Cargando...
mxn,Cargando...
kg,Cargando...
plazo_disp,Term months
contratoCondonar.title,Cargando...
contratoCondonar.condonar,Cargando...
contratoCondonar.messageDenied1,Cargando...
contratoCondonar.messageDenied2a,Cargando...
contratoCondonar.messageDenied2b,Cargando...
contratoCondonar.messageDenied2c,Cargando...
contratoCondonar.message1,Cargando...
contratoCondonar.message2a,Cargando...
contratoCondonar.message2b,Cargando...
contratoCondonar.message2c,Cargando...
contratoCondonar.message3,Cargando...
creditos.status.CN,Cargando...
contratoCondonar.respuesta1,Cargando...
contratoCondonar.respuesta2,Cargando...
contratoProrroga.title,Cargando...
contratoProrroga.message1,Cargando...
contratoProrroga.message2,Cargando...
contratoProrroga.message3,Cargando...
prorroga,Extension
prorroga_justificacion,Cargando...
contratoProrroga.respuesta1,Cargando...
pmenu.mapaProcesos,Cargando...
pmenu.mapaMision,Cargando...
mapa.leyendaDeudas,Cargando...
formatos.formatosActuales,Cargando...
formatos.manualesOperacion,Cargando...
formatos.materialFormacion,Cargando...
formatos.reporterInfografias,Cargando...
